remove_structure_errors: t is not allowed after i (('o', 12) is followed by ('t', 30))
remove_structure_errors: i is not allowed after i (('t', 30) is followed by ('i', 0))
remove_structure_errors: d is not allowed after v (('v', 20) is followed by ('d', 6))
remove_structure_errors: v is not allowed after v (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after b (('o', 12) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 57))
remove_structure_errors: d is not allowed after b (('p', 57) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 55))
remove_structure_errors: d is not allowed after b (('p', 55) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: i is not allowed after b (('v', 20) is followed by ('i', 48))
remove_structure_errors: t is not allowed after b (('i', 48) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 55))
remove_structure_errors: d is not allowed after b (('p', 55) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 55))
remove_structure_errors: d is not allowed after b (('p', 55) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after b (('v', 20) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: v is not allowed after p (('p', 62) is followed by ('v', 20))
remove_structure_errors: p is not allowed after p (('v', 20) is followed by ('p', 62))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after i (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after i (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after i (('s', 9) is followed by ('o', 0))
remove_structure_errors: d is not allowed after i (('o', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 24))
remove_structure_errors: t is not allowed after i (('o', 24) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after b (('o', 12) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after b (('o', 12) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: o is not allowed after p (('p', 57) is followed by ('o', 0))
remove_structure_errors: t is not allowed after p (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 6))
remove_structure_errors: t is not allowed after b (('o', 6) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: d is not allowed after b (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: d is not allowed after b (('o', 12) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 60))
remove_structure_errors: d is not allowed after b (('p', 60) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after b (('o', 12) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 18))
remove_structure_errors: t is not allowed after b (('o', 18) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after v (('v', 20) is followed by ('d', 6))
remove_structure_errors: v is not allowed after v (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after b (('o', 12) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after b (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after b (('o', 12) is followed by ('t', 30))
remove_structure_errors: o is not allowed after b (('t', 30) is followed by ('o', 0))
remove_structure_errors: t is not allowed after b (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after b (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 72))
remove_structure_errors: d is not allowed after b (('p', 72) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 53))
remove_structure_errors: d is not allowed after b (('p', 53) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 59))
remove_structure_errors: d is not allowed after b (('p', 59) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 12))
